"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000000711",45,49,33,44,27,31
"ENSMUSG00000000724",14,7,15,13,22,20
"ENSMUSG00000000730",0,0,1,0,0,0
"ENSMUSG00000000731",1,5,1,1,2,2
"ENSMUSG00000000732",0,0,0,1,1,0
"ENSMUSG00000000738",241,354,267,326,265,300
"ENSMUSG00000000739",0,0,0,1,1,0
"ENSMUSG00000000740",33,29,35,45,42,43
"ENSMUSG00000000743",103,82,82,112,87,92
"ENSMUSG00000000751",150,190,166,133,158,157
"ENSMUSG00000000753",12,12,9,10,2,14
"ENSMUSG00000000759",580,679,565,655,697,586
"ENSMUSG00000000766",19,14,14,14,14,16
"ENSMUSG00000000776",122,155,127,170,142,149
"ENSMUSG00000000782",30,28,19,19,36,37
"ENSMUSG00000000787",2047,2227,2389,2428,2401,2147
"ENSMUSG00000000791",0,3,0,0,0,0
"ENSMUSG00000000792",20,16,18,34,23,18
"ENSMUSG00000000794",31,27,29,9,11,19
"ENSMUSG00000000804",1478,1664,1592,1749,1573,1660
"ENSMUSG00000000805",0,0,0,1,0,3
"ENSMUSG00000000811",75,81,107,103,66,91
"ENSMUSG00000000817",10,21,32,21,10,24
"ENSMUSG00000000823",1076,1256,1176,1279,1085,1170
"ENSMUSG00000000826",2336,2643,2409,2737,2401,2455
"ENSMUSG00000000827",349,421,375,363,394,347
"ENSMUSG00000000838",738,817,773,729,878,782
"ENSMUSG00000000861",2264,2591,2173,2855,3227,2416
"ENSMUSG00000000869",18,15,14,13,11,15
"ENSMUSG00000000876",70,90,72,67,68,86
"ENSMUSG00000000881",819,941,777,909,818,827
"ENSMUSG00000000884",28,25,22,25,27,29
"ENSMUSG00000000889",0,0,0,0,0,0
"ENSMUSG00000000901",96,97,107,105,116,109
"ENSMUSG00000000902",697,886,678,948,744,783
"ENSMUSG00000000903",9,17,15,20,16,21
"ENSMUSG00000000915",92,90,77,107,69,87
"ENSMUSG00000000916",116,122,90,120,96,107
"ENSMUSG00000000934",41,38,58,38,36,28
"ENSMUSG00000000938",7,3,0,2,1,9
"ENSMUSG00000000942",218,261,197,272,209,221
"ENSMUSG00000000948",691,879,770,700,688,737
"ENSMUSG00000000957",41,43,28,43,22,40
"ENSMUSG00000000958",39,27,31,34,35,30
"ENSMUSG00000000959",544,521,493,580,465,571
"ENSMUSG00000000976",671,682,702,795,709,739
"ENSMUSG00000000982",6,3,6,3,2,0
"ENSMUSG00000000983",0,0,0,0,0,0
"ENSMUSG00000001014",0,0,0,0,0,0
"ENSMUSG00000001016",856,956,800,983,902,881
"ENSMUSG00000001017",692,707,594,717,648,671
"ENSMUSG00000001018",436,517,395,533,460,441
"ENSMUSG00000001020",0,0,1,0,0,0
"ENSMUSG00000001021",0,0,1,0,0,0
"ENSMUSG00000001023",0,0,1,0,0,0
"ENSMUSG00000001025",1,0,1,0,0,1
"ENSMUSG00000001027",0,0,1,0,1,0
"ENSMUSG00000001029",3,2,0,1,4,3
"ENSMUSG00000001034",357,389,325,470,388,372
"ENSMUSG00000001036",621,668,686,665,580,571
"ENSMUSG00000001039",42,84,73,98,60,61
"ENSMUSG00000001052",1277,1274,1317,1416,1185,1324
"ENSMUSG00000001053",8,7,2,4,5,3
"ENSMUSG00000001054",206,202,198,205,160,194
"ENSMUSG00000001056",89,98,58,86,59,80
"ENSMUSG00000001062",368,451,391,471,373,365
"ENSMUSG00000001065",116,124,116,124,150,134
"ENSMUSG00000001076",6,2,2,1,2,2
"ENSMUSG00000001082",67,72,52,75,61,77
"ENSMUSG00000001089",914,795,793,843,879,877
"ENSMUSG00000001095",1,0,1,0,0,0
"ENSMUSG00000001098",163,190,164,202,197,148
"ENSMUSG00000001100",364,394,353,448,404,349
"ENSMUSG00000001103",0,2,1,0,0,0
"ENSMUSG00000001105",364,349,343,390,363,346
"ENSMUSG00000001119",10,2,5,0,2,1
"ENSMUSG00000001120",349,288,332,363,315,318
"ENSMUSG00000001123",14,7,6,8,11,4
"ENSMUSG00000001127",1141,1296,1114,1314,1152,1251
"ENSMUSG00000001128",115,124,142,127,112,107
"ENSMUSG00000001131",9,18,17,8,14,11
"ENSMUSG00000001134",21,24,21,26,23,23
"ENSMUSG00000001138",467,488,444,537,489,505
"ENSMUSG00000001143",297,346,315,415,334,330
"ENSMUSG00000001150",663,670,593,779,587,693
"ENSMUSG00000001151",276,248,283,315,255,292
"ENSMUSG00000001155",0,0,0,0,0,0
"ENSMUSG00000001156",612,596,654,619,628,579
"ENSMUSG00000001157",361,418,408,448,351,380
"ENSMUSG00000001158",160,170,130,160,123,171
"ENSMUSG00000001166",6,13,10,14,10,13
"ENSMUSG00000001168",0,0,0,0,0,0
"ENSMUSG00000001173",745,855,743,770,787,810
"ENSMUSG00000001175",3261,3471,3361,3329,3110,3410
"ENSMUSG00000001211",601,536,451,599,507,562
"ENSMUSG00000001225",0,0,2,0,2,1
"ENSMUSG00000001227",211,277,175,279,202,218
"ENSMUSG00000001228",3,10,5,6,10,4
"ENSMUSG00000001229",226,242,290,304,292,280
"ENSMUSG00000001240",2,4,8,3,9,10
"ENSMUSG00000001247",8,9,9,10,10,8
"ENSMUSG00000001248",949,963,895,1081,979,959
"ENSMUSG00000001249",2,1,2,1,1,2
"ENSMUSG00000001260",86,53,96,22,29,44
"ENSMUSG00000001270",243,195,187,242,184,225
"ENSMUSG00000001280",989,897,1033,1025,1065,923
"ENSMUSG00000001281",16,22,10,12,25,15
"ENSMUSG00000001285",206,249,223,271,204,204
"ENSMUSG00000001288",18,7,11,13,11,11
"ENSMUSG00000001289",136,144,105,162,155,139
"ENSMUSG00000001300",1077,983,1113,1264,1316,957
"ENSMUSG00000001305",102,119,106,110,101,90
"ENSMUSG00000001313",118,139,146,172,151,153
"ENSMUSG00000001323",342,338,352,328,282,325
"ENSMUSG00000001333",15,10,17,18,26,15
"ENSMUSG00000001334",299,332,286,284,235,240
"ENSMUSG00000001348",0,2,0,0,0,0
"ENSMUSG00000001349",6,8,4,2,8,5
"ENSMUSG00000001366",224,258,278,266,231,240
"ENSMUSG00000001376",706,703,696,728,798,664
"ENSMUSG00000001379",202,220,168,223,222,175
"ENSMUSG00000001380",333,433,367,400,372,322
"ENSMUSG00000001383",594,568,462,703,549,542
"ENSMUSG00000001403",16,13,9,10,6,14
"ENSMUSG00000001415",397,401,364,447,406,400
"ENSMUSG00000001416",479,585,452,585,493,484
